#LungCancer_500	AD-043T2-A7-1	AD-111T2-A8-1	AD-114T1-A9-1 *	AD-115T1-A12-1 *	AD-118t1-A13-1	AD-119t3-A195-8	AD-120t1-A226-8 *	AD-122t3-A197-8	AD-123T1-A25-1 *	AD-127T1-A14-1	AD-130T1-A1-1	AD-131T1-A15-A200-1*	AD-136t2-A201-8	AD-157T1-A246-10 *	AD-158t1-A247-10 *	AD-159t1-A229-8	AD-162t2-A230-8	AD-163t1-A203-8 *	AD-164t1a-A206-8 *	AD-167t1 (d dup)-A210-8 *	AD-169t2-A211-8 *	AD-170t1-A251-10 **	AD-172t2-A213-8 *	AD-173T1a-A23-1	AD-177T1-A21-1	AD-178T2-A22-1 *	AD-179t1(d dup)-A214-8 *	AD-183t1-A215-8 *	AD-185t2-A232-8	AD-186T1-A27-1	AD-187T1-A11-1 *	AD-188t1-A216-8	AD-201t1-A138-4	AD-202t2-A139-4	AD-203t1-A140-4 *	AD-207t1-A142-4	AD-208t1-A143-4	AD-210t1-A144-4	AD-212t1-A145-4	AD-213t1-A146-4	AD-218t1-A147-4	AD-221t1-A148-4	AD-224t1-A149-4	AD-225t1-A150-4	AD-226t2-A151-4	AD-228t2-A152-4 *	AD-230t1-A153-4	AD-232t1-A154-4	AD-234t1(dup)-A155-4	AD-236t1-A156-4	AD-238t2x-A157-4	AD-239t1-A158-4	AD-240t1-A159-4	AD-241t1x-A160-4	AD-243t1x-A161-4 *	AD-247t1-A164-4	AD-249t1x (d)-A165-4	AD-250t1-A166-4	AD-252t1-A167-4	AD-253t1-A168-4	AD-255t1a-A169-4 **	AD-258t1a-A170-4 ***	AD-259t1-A171-4	AD-260t1a-A172-4 *	AD-261t1b-A173-4	AD-262t1a-A259-10 *	AD-266t1-A90-3	AD-267t1-A91-3	AD-268t1(dup b4)-A93-3 **	AD-269t1-A94-3	AD-275t1-A95-3	AD-276t1(dup b4)-A96-3 *	AD-277t1-A97-3	AD-283t1-A99-3	AD-285t2c-A263-10	AD-287t1-A101-3	AD-294t1(dup b4)-A104-3 *	AD-295t1-A105-3	AD-296t21-A106-03 *	AD-299t1-A235-8 *	AD-301t1-A237-8 *	AD-302t3-A238-8 *	AD-304t1-A240-8	AD-305t1-A415-7	AD-308t1-A241-8	AD-309t1-A242-8	AD-311t1-A266-10 *	AD-313t1-A268-10	AD-314t1-A269-10	AD-315t1-A270-10	AD-317t1-A271-10	AD-318t3-A107-3	AD-320t1-A272-10	AD-323t1-A273-10	AD-327t1-A276-10 *	AD-330t2-A279-10	AD-331t1-A219-8	AD-332t1-A220-8	AD-334t1 (d dup)-A221-8 *	AD-335t1-A222-8 *	AD-336t1-A223-8	AD-337t1-A224-8	AD-338t1a-A121-3 *	AD-340t1a-A122-3 *	AD-341t1a-A123-3 *	AD-346t1a-A124-3 *	AD-347t1a-A125-3 *	AD-350t1a-A126-3 *	AD-351t1-A127-3	AD-352t1-A128-3	AD-353t1-A129-3	AD-355t2-A174-4	AD-356t1-A175-4	AD-360t1-A176-A406	AD-361t1-A177-4	AD-362t1-A282-10	AD-363t1-A283-10	AD-366t1-A109-3	AD-367t1-A110-3	AD-368t2-A285-10	AD-370t1x-A112-3	AD-374t1-A114-3	AD-375t1-A115-3 *	AD-379t1-A116-3 *	AD-382t1-A117-3 *	AD-383t1-A118-3 *	AD-384t1-A120-3 *	AD-AD10T1-A389-7	AD-AD15T1-A390-7	AD-AD16T2-A391-7	AD-AD18T1-A392-7	AD-AD19T1-A393-7	AD-AD1T1-A383-7	AD-AD2T1-A384-7	AD-AD31-A289-10	AD-AD3T1-A385-7	AD-AD4T1-A386-7	AD-AD5T1-A387-7	AD-AD7T1-A388-7	NL-1179-A408-7	NL-1675-A409-7	NL-1698-A410-7	NL-1884-A411-7	NL-2378-A412-7	NL-2562-A413-7	NL-268n1-A92-3	NL-279n1-A98-3	NL-3104-A331-6	NL-3681-A332-6	NL-4083-A333-6	NL-4353-A334-6	NL-504-A407?-7	NL-6084-A335-6	NL-6853-A336-6	NL-6943-A337-6	NL-7530-A338-6	SMCL-301-A306-5	SMCL-5937-A307-5	SMCL-SMCL3t1-A290-10	SMCL-SMCL4t1-A354-6	SMCL-SMCL8t1-A356-6	SMCL-SMCL9t1-A357-6	SQ-1174-A317-5	SQ-1670-A318-5	SQ-2557-A320-5	SQ-2572-A321-5	SQ-2921-A322-5	SQ-3197-A323-5	SQ-3529-A324-5	SQ-3624-A325-5	SQ-4172-A326-5	SQ-4389-A327-5	SQ-5897-A328-5	SQ-6147-A329-5	SQ-7324-A416-7	SQ-SQ10t1-A362-6	SQ-SQ13t1-A364-6	SQ-SQ14t1-A365-6	SQ-SQ20t1-A366-6	SQ-SQ4t1-A358-6	SQ-SQ5t1-A359-6	SQ-SQ6t1-A360-6	SQ-SQ8t1-A361-6	COID-1429-A303-5	COID-2260-A304-5	COID-3580-A302-5	COID-4385-A301-5	COID-4518-A305-5	COID-9794-A300-5	COID-COID10t1-A347-6	COID-COID11t1-A348-6	COID-COID12t1-A349-6	COID-COID13t1-A350-6	COID-COID14t1-A351-6	COID-COID16t1-A352-6	COID-COID18t1-A353-6	COID-COID3t1-A340-6	COID-COID4t1-A341-6	COID-COID5t1-A342-6	COID-COID6t1-A343-6	COID-COID7t1-A344-6	COID-COID8t1-A345-6	COID-COID9t1-A346-6
#AD#NL#SMCL#SQ#COID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
37864_s_at	12.03488	12.59982	12.74360	12.77662	12.61679	12.67644	12.53989	12.53726	12.74038	12.81426	10.95329	11.04319	12.54971	11.33697	10.99709	12.60157	12.81808	8.06641	11.13921	11.26108	5.34997	11.47922	12.68034	12.12230	12.80957	9.75498	12.29742	11.50282	12.70155	11.60888	12.24546	11.28960	11.45032	12.73470	11.64767	12.50123	12.49879	12.68648	11.52936	11.78267	11.78864	9.18038	11.88738	12.33416	12.66146	12.79086	11.78158	12.47936	12.85887	10.66644	12.89674	12.68569	12.06762	12.71939	12.34675	12.65116	12.20444	12.33223	12.55393	12.61954	12.46570	12.47952	12.61029	12.32030	12.42967	11.24406	12.56196	10.25875	10.93340	12.66358	12.13070	12.68888	12.70260	12.90100	11.93841	11.48032	11.50623	11.10298	10.16341	12.40510	12.79451	12.47101	12.31551	12.67423	11.98993	8.61018	12.50943	12.39939	11.81030	12.30203	11.85383	12.36029	10.92190	12.54069	12.36984	12.43753	9.93904	12.27585	12.90363	12.40832	12.03154	12.67571	10.12732	11.31551	8.68834	12.81029	12.36058	11.51412	9.77941	12.60281	9.57226	10.35741	11.89693	10.54087	10.95722	11.64023	11.86512	12.48249	12.78087	12.65935	12.69572	11.95169	12.82938	12.67044	12.29272	11.84451	12.75714	12.16248	12.36865	12.43289	12.61228	11.87568	12.48469	12.66524	9.97579	12.33046	10.55849	9.07510	9.50287	11.51543	12.07459	11.20978	10.55539	12.58885	10.82241	10.35746	10.48971	11.49740	11.58033	10.79433	10.78930	9.00346	12.06562	10.45421	9.88859	11.17775	12.86246	12.63016	12.90549	12.86723	10.15413	12.79742	12.76949	11.68124	12.46015	12.01858	12.39453	12.59833	12.23774	12.41690	12.82278	10.85169	12.36699	12.70527	12.66567	10.36737	12.27679	11.91602	10.23764	11.70490	11.33072	10.42406	12.08676	6.60392	5.09381	5.79233	5.09541	9.08210	2.66221	4.17148	8.45939	11.76471	2.62601	4.35826	5.89893	10.41998	4.12627	4.18289	5.61500	9.35484	3.52341	11.16450	4.04775
38138_at	9.45947	9.72489	10.26321	9.22974	10.82952	10.13398	10.25097	10.11919	10.33009	9.28010	9.50972	9.07240	10.29260	10.08732	10.03041	9.19967	10.35502	10.12570	10.26910	10.41691	10.42641	10.05951	10.50945	9.26320	10.95037	9.84549	9.39674	9.70638	9.53518	8.95896	10.36572	9.61195	10.05398	9.52021	11.07332	9.56638	10.56243	10.60109	10.88787	10.29085	10.21371	10.47389	9.29499	10.10054	9.89459	9.82056	10.51342	9.97325	10.46024	10.29336	9.96989	10.04439	10.68330	10.63847	9.61363	10.50250	10.27655	9.87064	10.65399	10.44755	10.55099	10.44383	10.07149	10.65227	9.95654	9.96467	9.79667	9.85518	8.56688	9.59662	10.33456	10.04167	10.15823	10.18416	10.12930	9.83218	10.09167	10.47273	10.06870	10.77693	8.19066	11.00874	10.40700	10.54392	9.64151	10.76870	10.00234	10.92024	10.25735	10.28486	8.91761	10.12612	10.34717	10.72221	9.91490	10.61246	10.39074	8.93133	9.32073	10.51647	10.96274	10.32677	8.98761	9.69559	10.50481	9.51612	9.24923	9.69728	9.94052	8.84458	9.51753	10.07940	10.63000	10.09352	9.69582	10.79873	10.19983	10.06303	9.44572	10.24769	10.19240	11.47952	9.25785	11.05679	10.10736	11.08287	9.43919	10.71160	10.26911	10.34658	9.69077	9.58212	10.30252	9.80933	9.18135	10.19752	10.50444	9.97447	10.65137	10.33102	10.05660	10.04065	10.18340	9.85510	10.10662	9.16448	10.18754	10.12990	10.40210	10.25715	9.60257	10.60569	10.34886	9.91450	9.87018	10.35667	8.47277	8.00186	8.32540	7.48228	7.19712	9.01380	11.79627	11.32641	10.88816	10.12637	11.01947	10.87220	11.07771	11.49311	11.05778	11.41894	10.36263	10.56198	11.04570	8.55654	11.15645	10.81651	11.10679	10.81110	10.89262	8.39185	11.31010	5.47054	5.98641	8.25268	3.69711	4.37573	2.93734	2.43829	5.87406	6.07468	5.17832	5.85400	7.09834	2.87578	6.57738	5.78492	2.30451	7.57743	3.49825	6.54241	7.58052
38174_at	5.86617	4.87234	4.80632	4.63430	3.72356	5.34944	6.40973	5.58286	5.20085	5.40497	4.81967	5.97568	5.57501	5.00675	4.72329	5.82502	3.63459	5.93699	3.66448	5.42878	4.99684	4.91791	5.78490	5.81096	5.12184	4.54813	5.33181	3.70099	5.21607	3.67129	5.13525	4.91504	4.06350	6.18130	5.64068	6.22940	4.12846	5.81890	3.93263	5.71672	5.71864	5.88753	5.77321	3.66789	5.79572	5.88215	5.67779	6.20750	6.31741	4.75382	6.02192	4.32409	5.61029	4.82731	5.62498	5.52388	5.44228	6.24812	5.96786	5.11020	4.66125	4.91779	6.44725	3.62293	6.08683	5.42811	5.71946	3.94860	4.93074	5.84197	4.30670	5.56423	6.01525	5.91169	6.03716	5.53885	5.67115	3.52356	4.91145	5.32966	6.20955	4.79675	4.78293	4.85549	4.88313	5.75782	6.18349	5.97200	6.05268	5.39780	5.20633	5.42156	5.41549	5.62117	4.83744	5.04264	4.11603	4.99865	5.94263	4.16390	4.40652	5.17672	6.82864	5.96636	5.45943	4.98322	5.73430	5.51175	7.10455	5.65907	5.94017	4.30524	6.16712	5.80219	5.46728	3.94486	4.42557	5.18031	4.83592	5.41853	5.85350	3.06005	5.15967	4.68762	5.22439	5.54628	5.62088	4.86691	5.89966	3.62761	6.07039	3.57894	5.60100	3.97361	4.26228	6.11020	3.55213	5.96023	5.50271	3.64962	4.29719	5.98732	5.24565	3.89045	4.27798	3.97085	4.74093	6.26172	4.28971	4.58195	2.62527	5.21917	5.14649	3.84298	5.19338	3.88460	6.79559	6.75007	7.61088	6.56544	7.42652	6.31270	5.23534	5.04571	5.32337	5.79857	4.14405	4.84950	4.67129	4.14241	3.08576	6.02680	5.46205	5.41041	5.33664	5.67101	4.88264	6.05918	3.72465	5.78293	4.60999	5.43563	4.49442	7.61625	8.44410	7.33905	8.69714	8.08359	9.04827	8.81211	7.87129	9.07200	9.14264	8.20154	8.47925	7.92967	7.93357	8.60796	8.63557	7.93740	8.02907	8.37678	7.77610
38176_at	4.82528	5.35650	4.77030	5.31125	4.10936	4.30086	5.41447	4.99141	4.16752	5.36422	4.69877	5.23343	4.90881	3.97957	5.19790	4.72356	3.89433	5.18190	4.40905	4.53947	4.90424	4.73462	5.09550	5.88069	4.83441	4.81404	4.92267	4.28873	3.85300	6.17971	4.16952	4.78503	4.55275	5.58796	5.71466	4.07125	5.02059	5.81890	4.30524	4.94860	5.11686	5.80632	4.74631	4.98368	5.84674	4.61383	5.15664	4.76660	5.24603	3.30305	3.95791	3.44228	5.73552	4.44890	5.50224	4.88509	4.93593	4.88704	3.82375	4.95327	1.64309	4.32391	4.65650	2.37257	1.80735	4.97384	5.46074	3.18903	5.57934	5.60851	2.96347	5.79181	4.46336	5.16752	4.81044	4.29425	5.08852	2.88166	4.94813	3.93404	4.79675	3.15462	4.69766	3.93734	4.39575	4.87922	5.47281	3.70598	5.56560	5.50048	5.04308	5.31578	5.46891	3.50589	4.47444	4.96255	3.04439	5.35544	7.87363	4.13093	2.79909	5.33378	6.27016	5.89905	4.92742	5.00944	5.46074	5.99356	6.45236	5.45812	5.34127	3.98100	3.32193	5.70998	3.91972	5.05050	3.45295	4.59156	5.55059	4.07382	3.77505	4.33557	4.40769	4.84499	5.56575	5.08470	4.81941	5.25626	3.18428	2.44095	4.87036	4.99141	3.30159	3.68930	2.72028	2.92979	2.66719	5.62205	2.88130	3.64962	2.24786	5.52888	3.76116	2.65535	5.03386	4.26529	4.58256	5.31578	3.13586	3.40327	2.72516	1.29278	4.23802	3.35614	1.75702	4.53667	5.18666	4.28983	5.74604	5.57773	6.56697	5.29976	2.01078	3.76129	4.27352	3.87381	3.22841	0.33342	4.19928	5.30524	4.85300	4.61765	4.25927	2.94111	3.99005	5.39403	3.69488	5.18587	1.96717	4.19298	3.35332	2.54020	3.39506	7.21072	7.53908	6.09360	6.58631	7.08502	7.25824	6.55934	6.43496	6.09085	7.10528	6.96405	6.52293	7.67243	7.53823	7.07211	6.94615	6.86802	6.86047	6.59649	7.35129
38194_s_at	11.56821	12.15551	12.32204	12.41099	12.48126	12.32497	12.42453	12.35347	12.29441	12.46362	10.98574	11.05354	12.01102	11.25438	11.00357	12.08371	12.48995	7.63996	11.07868	10.95039	6.99203	11.47606	12.13147	11.87843	12.32385	10.97546	12.00231	11.31001	12.34024	11.41091	11.98916	11.61506	11.09328	12.44195	11.77454	12.27603	12.47770	12.28027	11.54931	11.78170	11.83590	8.94541	11.83296	11.76895	12.11430	12.50707	11.93438	12.50600	12.48438	10.11013	12.46793	12.41978	11.47522	12.38798	12.35595	12.44119	11.89327	12.26543	12.32636	12.11010	12.11381	12.08345	12.45158	12.07213	12.09355	11.81214	12.44836	11.09586	11.02380	12.46371	11.91449	12.34052	12.34489	12.50800	12.02763	11.49571	11.60680	11.23633	10.26006	12.05967	12.44472	11.94707	12.21320	12.31006	11.95223	7.93015	12.33226	11.95645	11.13944	11.85195	12.23143	11.94693	10.41876	12.37828	12.11046	11.95649	10.18523	12.13555	12.63409	12.14899	11.85470	12.32803	11.63604	11.43420	7.67613	12.53260	12.20175	11.61002	10.38632	12.22565	9.90555	10.76674	11.98732	8.91634	11.82141	11.78936	11.84570	12.45379	12.44467	12.20684	12.51147	11.71987	12.35054	12.41475	11.57771	11.70361	12.41225	11.85037	12.20307	12.07648	12.42929	12.02654	12.18935	12.36846	9.59221	12.09870	10.99753	6.96058	10.70470	11.81326	12.17742	11.72181	11.40455	12.13890	11.12411	11.21625	11.04570	11.13840	11.42737	11.13780	11.76930	9.76097	11.97752	10.48666	10.46082	11.91494	12.59679	12.41644	12.60398	12.54239	10.01376	12.38088	12.59334	11.41374	12.22448	11.90796	12.00328	12.31528	11.96876	11.93719	12.26195	11.13469	11.98244	12.27964	12.23983	10.97965	11.95409	11.81031	9.76901	11.84801	11.04583	10.25026	11.94768	7.89458	5.74551	7.96399	4.66676	9.00183	7.41363	2.66221	8.62545	11.76030	2.36342	5.16108	5.86617	9.60444	3.77716	2.90497	6.04767	9.61073	3.54131	11.40857	2.01078
38225_at	5.82553	4.04876	1.47508	3.89336	3.02680	4.38405	2.59694	4.44162	1.92600	4.62536	1.75275	5.66874	2.15704	4.76182	5.07403	6.64285	3.52356	4.98459	3.42497	4.27947	4.78947	2.74918	5.44112	5.63401	1.32193	5.27891	6.02115	4.00585	2.01436	5.54319	3.96625	4.99594	2.37452	5.39197	5.06932	5.80632	4.55336	4.91217	1.83188	4.54411	6.02148	5.62877	5.05918	4.22419	5.66021	4.75355	4.69877	3.91073	2.98914	5.53636	5.50462	0.76553	5.25550	2.79252	4.87431	3.59475	4.49185	2.99277	4.42418	3.72590	3.59538	2.38612	3.95420	2.80426	4.18745	4.68061	4.33842	1.48543	4.94658	4.92600	1.67356	3.17871	3.90304	4.30524	5.59425	4.01208	4.63285	3.62410	5.24774	2.45741	5.60807	2.92790	2.99773	2.72316	3.49697	4.91313	5.32481	5.46761	2.70266	4.78764	4.18269	2.70487	4.68426	3.84893	3.36667	4.22574	4.98277	3.73444	7.22723	3.79129	2.60170	3.19692	6.58594	5.68482	3.01078	4.13955	5.95012	4.97131	7.08757	4.99594	4.75168	3.06525	2.70708	5.68047	3.58736	3.60526	2.57435	2.91456	4.89239	5.38785	4.27295	3.87669	4.19967	3.76075	5.45730	4.09887	5.04133	0.54597	2.84634	2.16566	5.00988	2.00720	4.21850	2.06447	5.22149	3.95606	3.47062	5.89166	4.64386	2.87724	2.74816	5.67158	3.97972	4.12019	4.66334	1.25096	1.85997	2.20163	3.34205	3.15543	2.55991	1.92979	3.13093	3.74171	4.20163	2.43296	5.73091	7.05202	4.79494	5.75676	7.22448	5.03826	4.58556	2.76977	1.70487	4.07810	1.32769	3.37531	3.48038	1.50080	3.13183	5.33199	4.14078	2.76765	2.83390	5.60051	3.79527	4.22188	3.56869	0.79909	2.66676	6.09803	2.65047	7.63176	7.79181	7.61397	7.41498	7.37252	7.86753	7.41270	7.52184	7.88191	8.28165	7.59649	8.31302	7.38249	7.22583	7.93770	8.15081	7.05137	7.30250	8.34141	7.51475
38229_at	8.69307	8.04303	7.51207	8.03039	7.71665	8.08247	8.51177	9.01505	8.64658	8.50545	7.81461	7.99715	8.28822	7.44770	7.91193	7.66974	8.30889	7.85991	7.75248	7.75999	8.08640	7.91655	7.94084	8.16998	7.64544	7.79789	7.87925	7.34332	8.10994	7.55228	8.07125	7.92730	7.87510	8.49229	8.38978	8.17498	8.26786	7.98499	8.23922	8.16506	8.97765	8.44688	8.30779	8.15755	8.37469	8.14065	7.94544	8.23917	8.75559	8.10413	8.13345	7.91253	8.37777	8.04336	8.38502	7.90623	8.12707	7.75682	8.82544	8.08576	8.09919	7.86831	8.64014	7.73998	8.21023	7.86037	7.85947	7.79194	7.58794	8.53337	7.77393	8.24477	7.86183	8.40807	8.27025	7.92469	8.46655	7.43638	7.63332	8.03823	8.29935	8.04802	8.19229	8.22255	7.85966	8.32229	7.90023	7.94843	8.10392	8.01681	7.63938	8.49494	8.58124	7.67666	7.82314	7.98522	7.55275	8.20984	8.24738	8.21199	8.96521	7.90581	8.19426	8.78811	7.77406	8.17964	8.29923	8.12497	8.01920	7.84430	7.21257	8.18378	8.42962	7.92148	7.85941	7.88850	7.80793	8.00742	7.94802	7.82203	7.75067	8.19766	7.68884	7.78989	7.77136	7.94594	8.26543	7.84430	8.05555	7.57281	8.28559	7.58744	8.22574	8.19195	8.26214	8.04286	6.87381	8.89260	8.57826	8.27919	8.24574	8.19727	7.62081	7.63778	8.32854	8.30118	8.41160	8.44340	7.93156	8.10596	8.07194	7.66704	8.21805	8.19879	8.37560	7.99961	8.60396	8.06340	8.20296	8.45943	8.47468	8.17303	7.84474	6.96832	8.18537	7.80329	7.54797	8.12526	7.54967	7.50772	7.54350	7.83453	7.71156	7.79844	7.93540	8.37478	8.60844	8.21975	7.48856	8.03254	7.68328	7.48736	7.44650	8.82082	8.83725	9.29301	8.47001	9.74505	9.10274	7.99633	8.58248	8.73274	8.84031	8.78103	8.53072	8.49925	8.92508	8.94732	8.83952	9.05300	8.73295	9.18554	9.19800
38508_s_at	4.28096	5.53232	5.17013	4.44956	4.10936	6.37313	6.36475	6.39643	5.33199	5.62702	7.13781	5.97085	6.34802	4.61912	6.12939	6.85823	6.00113	5.72765	4.22574	5.93805	6.01335	4.08604	6.44029	7.38664	6.57198	5.58165	6.26040	5.07318	1.10434	5.49217	2.11437	5.89990	5.94111	5.09339	6.72710	5.69877	6.13791	6.49025	5.57622	6.12039	6.97223	6.38370	5.91313	5.89530	8.62472	5.89458	5.88142	6.64789	6.66107	4.26303	5.40293	6.80323	6.89542	4.44890	7.98561	5.22574	6.14282	6.89373	4.58616	5.89385	6.05261	6.14705	6.77439	4.54566	7.36422	6.85387	6.85100	5.02680	5.47195	6.17133	4.23802	5.88056	5.18070	4.38750	6.35896	1.87184	5.86381	3.71699	6.25692	5.86295	5.46172	4.75221	5.84950	5.98823	4.15299	7.99192	7.02652	5.46761	6.56955	5.99932	6.47897	6.92600	6.48462	5.33664	6.19535	6.46418	5.79831	6.36194	5.82311	5.41041	5.58826	6.21801	6.78601	6.77116	4.02945	6.38491	8.15155	6.41193	6.38440	4.46271	6.68748	5.12143	7.26454	6.23515	6.02857	6.51159	8.27947	4.88899	6.14771	5.47768	7.20075	5.72192	5.23343	6.05658	6.15573	5.11041	4.60763	7.46058	6.30706	5.67835	6.42509	6.96890	8.08714	5.21801	6.38819	6.02436	5.69572	7.01022	5.60674	8.68001	8.76142	8.61831	8.00169	9.55773	8.53060	6.66704	8.09207	8.75732	8.67172	8.21718	8.94266	8.28905	8.78581	7.85885	8.28304	7.90665	5.14731	0.04264	6.16229	6.37452	6.10580	6.69098	2.84599	5.56255	5.29536	4.62162	3.81865	4.25096	4.53045	3.51349	5.62410	5.88996	5.06609	4.59872	4.27724	5.86369	5.47930	4.87283	3.92790	7.22978	4.71973	5.45648	3.07039	7.45113	6.38888	6.98413	6.43912	7.13268	7.26454	5.38232	6.14751	6.91492	6.09614	7.04045	6.72014	7.31922	6.80735	6.27109	7.20750	6.34979	5.52231	5.55244	6.14057
38605_at	8.08028	7.94099	8.50912	8.32560	8.19972	8.21873	8.63221	8.27803	8.19362	7.82648	7.83876	8.53389	8.36019	8.00439	8.61003	8.65889	8.33199	8.42465	8.09608	8.22180	8.90439	8.64273	8.23491	8.29902	8.38672	8.21616	7.88206	8.09943	8.57754	8.68054	8.46361	8.55762	7.92630	8.41498	8.19106	8.25786	8.46606	8.03056	7.89245	8.55842	9.16792	7.97241	8.18854	8.44816	8.31270	8.09801	8.58489	8.38634	7.77650	8.29154	8.12815	8.06286	8.52227	8.04336	8.14282	8.49001	8.37543	8.84847	8.71308	8.17023	8.06320	8.54345	8.40774	8.06827	8.25842	8.86561	8.12267	8.41189	8.71675	8.18577	8.24631	8.35348	8.02774	8.34802	8.41958	8.36755	8.32708	8.52246	8.38105	9.33580	7.84235	8.78893	8.04854	8.51314	8.64057	8.08555	8.11676	8.46058	8.25682	7.73742	8.99044	8.54253	8.93796	8.35019	8.42396	8.44029	8.34314	8.58598	9.42270	8.00997	9.33338	8.57698	8.70016	8.39966	8.60925	8.04472	8.76830	8.80399	8.31388	7.89803	8.35922	8.70377	8.50768	7.98866	8.16043	8.86598	8.66644	8.42467	8.23678	8.51783	8.57463	8.92446	8.68024	8.33628	8.26322	8.27647	8.05327	8.95239	8.22255	8.44149	9.06886	8.75198	8.31284	7.97694	8.32003	8.48458	8.49973	8.28582	8.56495	8.03480	8.40778	8.20198	8.39571	8.36050	8.42635	8.42471	8.51392	8.46695	8.37782	8.44580	8.49129	8.23702	8.23592	8.52959	8.12386	8.68972	8.92422	8.63009	9.02001	8.54963	9.66042	8.72840	8.00062	8.46712	8.68629	8.63001	8.29025	8.34527	8.79760	8.63590	8.11213	8.59440	8.62055	8.89712	8.45080	8.48981	8.45980	9.10287	9.29004	8.15795	7.98635	9.05360	9.14078	9.89936	9.07138	9.65871	9.49055	8.78431	9.46009	8.63496	9.28561	9.57582	9.26540	8.69832	9.75529	9.75924	10.08710	9.90453	9.06051	9.43346	8.73295	8.88277	10.03801
38607_at	7.71067	6.09972	6.31034	6.06770	6.28522	6.28928	7.38046	7.17862	5.78869	6.14119	6.34092	6.77452	6.58496	6.41337	6.40931	6.93628	5.86542	6.51357	6.02724	6.27370	6.98635	5.76394	6.82814	7.12433	7.05626	6.60652	7.31759	6.25380	6.70625	7.13504	6.70791	6.87036	6.03694	7.55873	7.43609	7.03628	7.18458	7.10413	7.29435	7.07286	8.74611	7.27417	7.16842	5.47832	7.24127	6.39575	6.32715	6.93793	7.21335	6.71053	6.59887	6.16932	7.36168	6.43246	6.80716	6.63081	6.34997	6.81865	5.92600	6.30506	6.38382	5.94216	6.22554	5.17891	6.75409	6.66334	6.92991	6.39249	6.48688	6.35526	6.17652	6.39909	6.36510	7.35905	7.12908	5.37330	6.82706	5.74443	6.45113	6.71541	9.12512	6.03254	5.96394	6.57486	6.99311	7.32337	6.39806	4.84046	7.20936	5.97568	5.66505	6.63503	7.81609	6.32301	6.61500	6.38922	6.58406	6.38819	6.41092	6.68222	6.87098	6.30979	7.28776	7.02192	5.89676	6.18329	7.02929	6.65985	7.41540	6.52576	6.58241	6.25550	6.23534	6.08608	6.61897	6.90099	5.92932	6.09381	7.19387	10.08096	6.15076	5.74873	5.61662	7.11140	6.84166	6.25588	7.00949	5.90304	6.01279	6.12866	6.30706	6.57092	6.06932	6.84436	5.79233	5.83618	4.77821	7.96919	6.97143	5.24489	6.20065	6.31741	6.49905	5.39746	6.55290	5.43162	6.66718	7.31125	4.98868	6.81634	5.13750	6.18428	6.19279	6.13402	6.81442	5.75916	7.59141	6.12122	6.14200	6.57924	7.41473	6.46793	6.40888	6.29866	5.83112	6.55029	5.22149	5.77215	6.68706	5.18666	5.76075	6.91994	5.38578	5.65478	6.05918	7.41557	6.50351	6.92801	5.71315	5.78293	6.30961	6.16289	5.22458	10.40865	7.96648	9.90808	6.30378	8.27496	7.18061	6.90304	10.55211	7.62139	7.31705	7.89251	6.72928	9.71366	9.73655	10.00248	7.47590	9.64030	7.21247	6.93782	9.07146
